Item Name,Game Name,Listed On,Acted On, Display Price, Price in Cents, Type, Market Name, App Id, Context Id, Asset Id, Instance Id, Class Id, Unowned Context Id, Unowned Id
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 212.46","21246","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","24050204315","188530139","4652315365","2","24050204315"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 207.25","20725","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","24050319999","188530139","4652315365","2","24050319999"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 212.46","21246","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","24050194664","188530139","4652315365","2","24050194664"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050044021","188530139","4652315151","2","24050044021"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050079580","188530139","4652315151","2","24050079580"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050056681","188530139","4652315151","2","24050056681"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050083016","188530139","4652315151","2","24050083016"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050031032","188530139","4652315151","2","24050031032"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050033707","188530139","4652315151","2","24050033707"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 192.55","19255","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24050244480","188530139","4652315151","2","24050244480"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 212.46","21246","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23841536382","188530139","4614639232","2","23841536382"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 212.46","21246","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23841540239","188530139","4614639232","2","23841540239"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 212.46","21246","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","24050229931","188530139","4652315365","2","24050229931"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 212.46","21246","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23841509810","188530139","4614639232","2","23841509810"
"Sticker | Ninjas in Pyjamas | Stockholm 2021","Counter-Strike 2","30 Nov	
		30 Nov","30 Nov	
		30 Nov","Rp 193.25","19325","purchase","Sticker | Ninjas in Pyjamas | Stockholm 2021","730","2","24049892222","188530139","4652315151","2","24049892222"
"Sticker | s1mple | Stockholm 2021","Counter-Strike 2","27 Nov	
		27 Nov","27 Nov	
		27 Nov","Rp 2 833.64","283364","purchase","Sticker | s1mple | Stockholm 2021","730","2","23903252069","188530139","4638743441","2","23903252069"
"Prisma Case","Counter-Strike 2","22 Nov	
		21 Nov","22 Nov	
		21 Nov","Rp 644.48","64448","sale","Prisma Case","730","2","18137690531","0","3213411179","2","18137690531"
"Sticker | Ninjas in Pyjamas (Holo) | Stockholm 2021","Counter-Strike 2","28 Oct	
		28 Oct","28 Oct	
		28 Oct","Rp 10 201.99","1020199","purchase","Sticker | Ninjas in Pyjamas (Holo) | Stockholm 2021","730","2","23709485186","188530139","4608587833","2","23709485186"
"Glock-18 | Death Rattle","Counter-Strike 2","24 Oct	
		24 Oct","24 Oct	
		24 Oct","Rp 1 501.58","150158","sale","Glock-18 | Death Rattle (Field-Tested)","730","2","22809401967","302028390","469445908","2","22809401967"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","22 Oct	
		22 Oct","22 Oct	
		22 Oct","Rp 862.81","86281","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23675875637","188530139","4605483417","2","23675875637"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","22 Oct	
		22 Oct","22 Oct	
		22 Oct","Rp 864.63","86463","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23677591811","188530139","4605483417","2","23677591811"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","22 Oct	
		22 Oct","22 Oct	
		22 Oct","Rp 853.22","85322","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23677722180","188530139","4605483417","2","23677722180"
"Sticker | Team Liquid | Stockholm 2021","Counter-Strike 2","22 Oct	
		22 Oct","22 Oct	
		22 Oct","Rp 864.63","86463","purchase","Sticker | Team Liquid | Stockholm 2021","730","2","23677617244","188530139","4605483417","2","23677617244"
"AWP | Safari Mesh","Counter-Strike 2","7 Oct	
		22 Sep","7 Oct	
		22 Sep","Rp 2 140.41","214041","sale","AWP | Safari Mesh (Minimal Wear)","730","2","23297348229","302028390","310779381","2","23297348229"
"UMP-45 | Carbon Fiber","Counter-Strike 2","21 Sep	
		21 Sep","21 Sep	
		21 Sep","Rp 2 000.62","200062","sale","UMP-45 | Carbon Fiber (Factory New)","730","2","23341970441","302028390","469444104","2","23341970441"
"Sticker | Liquid | 2020 RMR","Counter-Strike 2","14 Sep	
		14 Sep","14 Sep	
		14 Sep","Rp 565.30","56530","purchase","Sticker | Liquid | 2020 RMR","730","2","23323704241","188530139","4562198926","2","23323704241"
"Sticker | Liquid | 2020 RMR","Counter-Strike 2","14 Sep	
		14 Sep","14 Sep	
		14 Sep","Rp 567.60","56760","purchase","Sticker | Liquid | 2020 RMR","730","2","23337634271","188530139","4302203124","2","23337634271"
"Sticker | Liquid | 2020 RMR","Counter-Strike 2","14 Sep	
		14 Sep","14 Sep	
		14 Sep","Rp 567.60","56760","purchase","Sticker | Liquid | 2020 RMR","730","2","23337634603","188530139","4302203124","2","23337634603"
"Sticker | Liquid | 2020 RMR","Counter-Strike 2","14 Sep	
		14 Sep","14 Sep	
		14 Sep","Rp 567.61","56761","purchase","Sticker | Liquid | 2020 RMR","730","2","21012621949","188530139","4302203124","2","21012621949"
"AUG | Tom Cat","Counter-Strike 2","9 Sep	
		3 Sep","9 Sep	
		3 Sep","Rp 1 498.45","149845","purchase","AUG | Tom Cat (Minimal Wear)","730","2","23257214929","188530139","4552764899","2","23257214929"
"Snakebite Case","Counter-Strike 2","8 Sep	
		8 Sep","8 Sep	
		8 Sep","Rp 7 001.60","700160","sale","Snakebite Case","730","2","23290022162","0","4418618853","2","23290022162"
"Sticker | nitr0 | Berlin 2019","Counter-Strike 2","29 Aug	
		29 Aug","29 Aug	
		29 Aug","Rp 1 005.83","100583","purchase","Sticker | nitr0 | Berlin 2019","730","2","23222232339","188530139","4547957091","2","23222232339"
"Wraith (Trading Card)","Apex Legends Trading Card","25 Aug	
		25 Aug","25 Aug	
		25 Aug","Rp 778.45","77845","purchase","1172470-Wraith (Trading Card)","753","6","18148213288","0","4065519198","6","18184338881"
"Snakebite Case","Counter-Strike 2","23 Aug	
		23 Aug","23 Aug	
		23 Aug","Rp 7 012.39","701239","sale","Snakebite Case","730","2","23166425918","0","4418618853","2","23166425918"
"Snakebite Case","Counter-Strike 2","23 Aug	
		23 Aug","23 Aug	
		23 Aug","Rp 7 012.39","701239","sale","Snakebite Case","730","2","23121122159","0","4418618853","2","23121122159"
"Clutch Case","Counter-Strike 2","9 Aug	
		9 Aug","9 Aug	
		9 Aug","Rp 3 015.50","301550","sale","Clutch Case","730","2","23080563721","0","2727227113","2","23080563721"
"Fracture Case","Counter-Strike 2","1 Aug	
		1 Aug","1 Aug	
		1 Aug","Rp 2 528.23","252823","sale","Fracture Case","730","2","22968640379","0","3946324730","2","22968640379"
"Clutch Case","Counter-Strike 2","1 Aug	
		1 Aug","1 Aug	
		1 Aug","Rp 3 040.83","304083","sale","Clutch Case","730","2","23030482627","0","2727227113","2","23030482627"
"Desert Eagle | Trigger Discipline","Counter-Strike 2","11 Jul	
		11 Jul","11 Jul	
		11 Jul","Rp 30 088.42","3008842","purchase","Desert Eagle | Trigger Discipline (Well-Worn)","730","2","22887227432","188530139","4499367387","2","22887227432"
"Fracture Case","Counter-Strike 2","5 Jul	
		5 Jul","5 Jul	
		5 Jul","Rp 3 099.37","309937","sale","Fracture Case","730","2","22846413787","0","3946324730","2","22846413787"
"Fracture Case","Counter-Strike 2","5 Jul	
		5 Jul","5 Jul	
		5 Jul","Rp 2 909.93","290993","sale","Fracture Case","730","2","22846412255","0","3946324730","2","22846412255"
"Desert Eagle | Bronze Deco","Counter-Strike 2","5 Jul	
		5 Jul","5 Jul	
		5 Jul","Rp 6 838.35","683835","sale","Desert Eagle | Bronze Deco (Factory New)","730","2","22036693787","188530139","4419380687","2","22036693787"
"StatTrak™ Glock-18 | Clear Polymer","Counter-Strike 2","25 Jun	
		25 Jun","25 Jun	
		25 Jun","Rp 16 582.56","1658256","purchase","StatTrak™ Glock-18 | Clear Polymer (Field-Tested)","730","2","22763382828","188530170","4481028033","2","22763382828"
"Revolver Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 537.71","153771","sale","Revolver Case","730","2","17777379875","0","1432174707","2","17777379875"
"Revolver Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 537.71","153771","sale","Revolver Case","730","2","17400504468","0","1432174707","2","17400504468"
"Shadow Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 3 598.67","359867","sale","Shadow Case","730","2","17563879799","0","1293508920","2","17563879799"
"Prisma Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 029.61","102961","sale","Prisma Case","730","2","19809461393","0","3213411179","2","19809461393"
"Prisma Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 001.49","100149","sale","Prisma Case","730","2","18069788068","0","3213411179","2","18069788068"
"Prisma Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 001.49","100149","sale","Prisma Case","730","2","17926284989","0","3213411179","2","17926284989"
"Danger Zone Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 029.61","102961","sale","Danger Zone Case","730","2","19873616673","0","3106076656","2","19873616673"
"Danger Zone Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 006.18","100618","sale","Danger Zone Case","730","2","19721766796","0","3106076656","2","19721766796"
"Danger Zone Case","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 1 006.18","100618","sale","Danger Zone Case","730","2","19912280414","0","3106076656","2","19912280414"
"Sticker | Global Elite","Counter-Strike 2","19 Jun	
		19 Jun","19 Jun	
		19 Jun","Rp 8 357.57","835757","purchase","Sticker | Global Elite","730","2","22710669305","188530139","4474679639","2","22710669305"
"Sticker | NAF | Berlin 2019","Counter-Strike 2","8 Jun	
		8 Jun","8 Jun	
		8 Jun","Rp 995","99500","purchase","Sticker | NAF | Berlin 2019","730","2","22610982684","188530139","3485689206","2","22610982684"
"Shadow Case","Counter-Strike 2","7 Jun	
		7 Jun","7 Jun	
		7 Jun","Rp 3 513.43","351343","sale","Shadow Case","730","2","17490962915","0","1293508920","2","17490962915"
"Shadow Case","Counter-Strike 2","7 Jun	
		7 Jun","7 Jun	
		7 Jun","Rp 3 507.58","350758","sale","Shadow Case","730","2","17536995354","0","1293508920","2","17536995354"
"Fracture Case","Counter-Strike 2","5 Jun	
		5 Jun","5 Jun	
		5 Jun","Rp 4 866.87","486687","sale","Fracture Case","730","2","22572363102","0","3946324730","2","22572363102"
"Fracture Case","Counter-Strike 2","5 Jun	
		5 Jun","5 Jun	
		5 Jun","Rp 4 772.50","477250","sale","Fracture Case","730","2","22122329156","0","3946324730","2","22122329156"
"Clutch Case","Counter-Strike 2","5 Jun	
		5 Jun","5 Jun	
		5 Jun","Rp 5 296.30","529630","sale","Clutch Case","730","2","18617419459","0","2727227113","2","18617419459"
"Spectrum 2 Case","Counter-Strike 2","5 Jun	
		5 Jun","5 Jun	
		5 Jun","Rp 5 578.60","557860","sale","Spectrum 2 Case","730","2","18207838926","0","2521767801","2","18207838926"
"Fracture Case","Counter-Strike 2","5 Jun	
		5 Jun","5 Jun	
		5 Jun","Rp 4 518.79","451879","sale","Fracture Case","730","2","22376406450","0","3946324730","2","22376406450"
"Clutch Case","Counter-Strike 2","5 Jun	
		29 Mar","5 Jun	
		29 Mar","Rp 5 006.43","500643","sale","Clutch Case","730","2","19333446414","0","2727227113","2","19333446414"
"Clutch Case","Counter-Strike 2","5 Jun	
		29 Mar","5 Jun	
		29 Mar","Rp 5 006.43","500643","sale","Clutch Case","730","2","21308021175","0","2727227113","2","21308021175"
"Clutch Case","Counter-Strike 2","1 Jun	
		31 May","1 Jun	
		31 May","Rp 3 305.63","330563","sale","Clutch Case","730","2","22277301021","0","2727227113","2","22277301021"
"Clutch Case","Counter-Strike 2","31 May	
		31 May","31 May	
		31 May","Rp 3 289.94","328994","sale","Clutch Case","730","2","21982159049","0","2727227113","2","21982159049"
"Clutch Case","Counter-Strike 2","29 May	
		29 May","29 May	
		29 May","Rp 3 003.86","300386","sale","Clutch Case","730","2","22489524309","0","2727227113","2","22489524309"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","28 Apr	
		28 Apr","28 Apr	
		28 Apr","Rp 386.79","38679","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","21958031701","188530139","4405453050","2","21958031701"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","28 Apr	
		28 Apr","28 Apr	
		28 Apr","Rp 387.41","38741","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","22021440786","188530139","4409549445","2","22021440786"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","28 Apr	
		28 Apr","28 Apr	
		28 Apr","Rp 387.41","38741","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","22021379981","188530139","4409549445","2","22021379981"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","28 Apr	
		28 Apr","28 Apr	
		28 Apr","Rp 387.41","38741","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","22021479822","188530139","4409549445","2","22021479822"
"Clutch Case","Counter-Strike 2","27 Apr	
		27 Apr","27 Apr	
		27 Apr","Rp 3 336.23","333623","sale","Clutch Case","730","2","19059275619","0","2727227113","2","19059275619"
"Sticker | Liquid | 2020 RMR","Counter-Strike 2","26 Apr	
		26 Apr","26 Apr	
		26 Apr","Rp 705.47","70547","purchase","Sticker | Liquid | 2020 RMR","730","2","21983557955","188530139","4406873844","2","21983557955"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","26 Apr	
		26 Apr","26 Apr	
		26 Apr","Rp 412.52","41252","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","21983420420","188530139","4406873723","2","21983420420"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","26 Apr	
		26 Apr","26 Apr	
		26 Apr","Rp 403.44","40344","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","21956958735","188530139","4405453050","2","21956958735"
"Sticker | Ninjas in Pyjamas | 2020 RMR","Counter-Strike 2","26 Apr	
		26 Apr","26 Apr	
		26 Apr","Rp 410.79","41079","purchase","Sticker | Ninjas in Pyjamas | 2020 RMR","730","2","21983235537","188530139","4406873723","2","21983235537"
"Sticker | Hello M4A4","Counter-Strike 2","26 Apr	
		26 Apr","26 Apr	
		26 Apr","Rp 1 562.77","156277","purchase","Sticker | Hello M4A4","730","2","21982848372","519977179","4406882562","2","21982848372"
"Spectrum Case","Counter-Strike 2","15 Apr	
		15 Apr","15 Apr	
		15 Apr","Rp 8 268.60","826860","sale","Spectrum Case","730","2","17619194600","0","2209581061","2","17619194600"
"Gamma 2 Case","Counter-Strike 2","15 Apr	
		15 Apr","15 Apr	
		15 Apr","Rp 4 204.31","420431","sale","Gamma 2 Case","730","2","17664968301","0","1923037342","2","17664968301"
"Clutch Case","Counter-Strike 2","15 Apr	
		15 Apr","15 Apr	
		15 Apr","Rp 3 403.49","340349","sale","Clutch Case","730","2","18485601331","0","2727227113","2","18485601331"
"Clutch Case","Counter-Strike 2","15 Apr	
		15 Apr","15 Apr	
		15 Apr","Rp 3 362.57","336257","sale","Clutch Case","730","2","21750688177","0","2727227113","2","21750688177"
"Clutch Case","Counter-Strike 2","7 Apr	
		7 Apr","7 Apr	
		7 Apr","Rp 4 066.81","406681","sale","Clutch Case","730","2","21381552896","0","2727227113","2","21381552896"
"Sticker | yel | Berlin 2019","Counter-Strike 2","6 Apr	
		5 Apr","6 Apr	
		5 Apr","Rp 1 638.68","163868","purchase","Sticker | yel | Berlin 2019","730","2","20119647401","188530139","3485697189","2","20119647401"
"Desert Eagle | Bronze Deco","Counter-Strike 2","6 Apr	
		6 Apr","6 Apr	
		6 Apr","Rp 11 179.40","1117940","purchase","Desert Eagle | Bronze Deco (Factory New)","730","2","21413860209","188530139","4377677773","2","21413860209"
"Gamma 2 Case","Counter-Strike 2","4 Apr	
		26 Mar","4 Apr	
		26 Mar","Rp 5 090.90","509090","sale","Gamma 2 Case","730","2","16333024654","0","1923037342","2","16333024654"
"Gamma 2 Case","Counter-Strike 2","4 Apr	
		26 Mar","4 Apr	
		26 Mar","Rp 5 090.90","509090","sale","Gamma 2 Case","730","2","17716393702","0","1923037342","2","17716393702"
"Fracture Case","Counter-Strike 2","1 Apr	
		30 Mar","1 Apr	
		30 Mar","Rp 8 000","800000","sale","Fracture Case","730","2","21253474668","0","3946324730","2","21253474668"
"Spectrum Case","Counter-Strike 2","31 Mar	
		26 Mar","31 Mar	
		26 Mar","Rp 7 605.30","760530","sale","Spectrum Case","730","2","17392572874","0","2209581061","2","17392572874"
"Clutch Case","Counter-Strike 2","28 Mar	
		26 Mar","28 Mar	
		26 Mar","Rp 4 016.78","401678","sale","Clutch Case","730","2","18734335406","0","2727227113","2","18734335406"
"Clutch Case","Counter-Strike 2","28 Mar	
		26 Mar","28 Mar	
		26 Mar","Rp 4 016.78","401678","sale","Clutch Case","730","2","19567618798","0","2727227113","2","19567618798"
"Clutch Case","Counter-Strike 2","28 Mar	
		21 Mar","28 Mar	
		21 Mar","Rp 4 043.32","404332","sale","Clutch Case","730","2","18854024928","0","2727227113","2","18854024928"
"Clutch Case","Counter-Strike 2","28 Mar	
		21 Mar","28 Mar	
		21 Mar","Rp 4 043.32","404332","sale","Clutch Case","730","2","20236249559","0","2727227113","2","20236249559"
"Clutch Case","Counter-Strike 2","28 Mar	
		28 Mar","28 Mar	
		28 Mar","Rp 3 704.62","370462","sale","Clutch Case","730","2","20308705537","0","2727227113","2","20308705537"
"Clutch Case","Counter-Strike 2","28 Mar	
		28 Mar","28 Mar	
		28 Mar","Rp 3 401.04","340104","sale","Clutch Case","730","2","20966608115","0","2727227113","2","20966608115"
"Sticker | Counter-Tech","Counter-Strike 2","27 Mar	
		27 Mar","27 Mar	
		27 Mar","Rp 3 062.41","306241","purchase","Sticker | Counter-Tech","730","2","18266566555","519977179","3608083929","2","18266566555"
"Sticker | Terrorist-Tech","Counter-Strike 2","27 Mar	
		27 Mar","27 Mar	
		27 Mar","Rp 3 073.80","307380","purchase","Sticker | Terrorist-Tech","730","2","18123042759","519977179","3608083913","2","18123042759"
"Fracture Case","Counter-Strike 2","25 Mar	
		24 Mar","25 Mar	
		24 Mar","Rp 7 351.70","735170","sale","Fracture Case","730","2","21202328813","0","3946324730","2","21202328813"
"Clutch Case","Counter-Strike 2","24 Mar	
		20 Mar","24 Mar	
		20 Mar","Rp 3 515.71","351571","sale","Clutch Case","730","2","18360026478","0","2727227113","2","18360026478"
"Clutch Case","Counter-Strike 2","24 Mar	
		24 Mar","24 Mar	
		24 Mar","Rp 3 201.92","320192","sale","Clutch Case","730","2","21217772645","0","2727227113","2","21217772645"
"Sticker | yel | Berlin 2019","Counter-Strike 2","21 Mar	
		21 Mar","21 Mar	
		21 Mar","Rp 1 748.70","174870","purchase","Sticker | yel | Berlin 2019","730","2","19341688862","188530139","3485697189","2","19341688862"
